_id,location_id,country_id,hotel_name,hotel_code,createdAt,updatedAt,isDeleted,isActive,__v,hotel_address,total_rooms,hotel_image[0],hotel_image[1],hotel_image[2],hotel_image[3],hotel_image[4],hotel_image[5],hotel_image[6],hotel_image[7],hotel_image[8],hotel_image[9],hotel_image[10],hotel_image[11],hotel_image[12],hotel_image[13],roomTypes[0],roomTypes[1],roomTypes[2],roomTypes[3],amenities[0],amenities[1],amenities[2]
65b3c9cd148f987d4e4e6d42,65b1f399bf71a7a0133e47b2,65b1f1f4bf71a7a0133e4778,The Retreat,TRT,2024-01-26T15:03:41.609Z,2024-02-28T16:40:03.681Z,false,true,0,"Erangal Beach Madh Island, Madh - Marve Rd, Madh, Mumbai, Maharashtra",40,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3c9cd148f987d4e4e6d42_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e227390635b2cd9f14f4,65b7cbe63cc4ccc32a439a8e,,,,
65b3cbe2148f987d4e4e6d61,65b1f399bf71a7a0133e47b2,65b1f1f4bf71a7a0133e4778,Sheela homestay,SHS,2024-01-26T15:12:34.116Z,2024-02-28T16:39:34.900Z,false,true,0,"23/64B/63 aram lok colony near shilpgram parking opp jalma hospital Taj Mahal east gate road, Agra",30,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbe2148f987d4e4e6d61_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e247390635b2cd9f1504,,,,,
65b3cbfb148f987d4e4e6d65,65b1f399bf71a7a0133e47b2,65b1f1f4bf71a7a0133e4778,Surasena Regal Vista,SRV,2024-01-26T15:12:59.726Z,2024-02-28T16:38:48.197Z,false,true,0,"A/C-1/2, Fatehabad Road Taj Nagari, R.K. Puram Phase-2, Basai Khurd, Phase 2, Trans Yamuna Colony, Agra, Uttar Pradesh 282001",30,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cbfb148f987d4e4e6d65_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e237390635b2cd9f14fc,,,,,
65b3cc0d148f987d4e4e6d69,65b1f399bf71a7a0133e47b2,65b1f1f4bf71a7a0133e4778,Lucky Restaurant & Guest House,LRGH,2024-01-26T15:13:17.903Z,2024-02-28T16:38:28.007Z,false,true,0,"3/8 Chowk Thana, Tajganj, Agra, Uttar Pradesh 282001",35,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc0d148f987d4e4e6d69_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e247390635b2cd9f1504,,,,,
65b3cc9b148f987d4e4e6d75,65b1f3cabf71a7a0133e47b8,65b1f1f4bf71a7a0133e4778,Hotel The Ramay Palace,HTRP,2024-01-26T15:15:39.137Z,2024-02-28T16:37:54.994Z,false,true,0,"BSNL Office, 1/4/48 A, to, Asharfi Bhawan Chauraha Rd, Ayodhya, Uttar Pradesh 224123",40,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cc9b148f987d4e4e6d75_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e237390635b2cd9f14fc,65b7e24f390635b2cd9f1508,,,,
65b3ccbf148f987d4e4e6d79,65b1f3cabf71a7a0133e47b8,65b1f1f4bf71a7a0133e4778,Hotel Gurudev Palace,HGP,2024-01-26T15:16:15.811Z,2024-02-28T16:37:28.763Z,false,true,0,"Nh 28, opposite Shri Ram International Airport, Near Disha Coaching, Ayodhya, Uttar Pradesh, Ayodhya",30,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccbf148f987d4e4e6d79_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccbf148f987d4e4e6d79_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccbf148f987d4e4e6d79_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccbf148f987d4e4e6d79_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccbf148f987d4e4e6d79_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccbf148f987d4e4e6d79_.6.jpg,,,,,,,,,65b7e21f390635b2cd9f14f0,65b7e227390635b2cd9f14f4,,,,,
65b3ccd4148f987d4e4e6d7d,65b1f3cabf71a7a0133e47b8,65b1f1f4bf71a7a0133e4778,Hotel Krinoscco,HKC,2024-01-26T15:16:36.729Z,2024-02-28T16:37:04.361Z,false,true,0,"249, Ayodhya - Faizabad Rd, Awadhpuri Colony, Amanigunj, Faizabad, Uttar Pradesh 224001",35,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3ccd4148f987d4e4e6d7d_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e237390635b2cd9f14fc,,,,,
65b3cd09148f987d4e4e6d81,65b1f3cabf71a7a0133e47b8,65b1f1f4bf71a7a0133e4778,Royal Heritage Hotel & Resort,RHHR,2024-01-26T15:17:29.676Z,2024-02-28T16:36:33.922Z,false,true,0,"bypass road, Garudeshwar, near statue of unity, Kevadia, Gujarat 393151",40,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd09148f987d4e4e6d81_.8.jpg,,,,,,,65b7e21f390635b2cd9f14f0,65b7e227390635b2cd9f14f4,,,,,
65b3cd21148f987d4e4e6d85,65b1f3cabf71a7a0133e47b8,65b1f1f4bf71a7a0133e4778,JB Square Resort And Lawn,JSRAL,2024-01-26T15:17:53.887Z,2024-02-28T16:35:34.885Z,false,true,0,,40,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.8.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cd21148f987d4e4e6d85_.9.jpg,,,,,,65b7e21f390635b2cd9f14f0,65b7e23e390635b2cd9f1500,,,,,
65b3cd9f148f987d4e4e6da5,65b1f3dbbf71a7a0133e47bc,65b1f1f4bf71a7a0133e4778,Blue Lagoon Resort Goa,BLRG,2024-01-26T15:19:59.781Z,2024-02-01T15:49:47.009Z,true,true,0,"Cola Beach Rd, Canacona, Cola, Goa 403702",,,,,,,,,,,,,,,,,,,,,,
65b3cdb5148f987d4e4e6da9,65b1f3dbbf71a7a0133e47bc,65b1f1f4bf71a7a0133e4778,"Whoopers Party Hostel, Palolem",WPHP,2024-01-26T15:20:21.090Z,2024-02-01T15:49:25.306Z,true,true,0,"Devabag Sports Complex, Palolem, Canacona, Goa 403702",,,,,,,,,,,,,,,,,,,,,,
65b3cdd9148f987d4e4e6dad,65b1f3dbbf71a7a0133e47bc,65b1f1f4bf71a7a0133e4778,"Taj Cidade de Goa Horizon, Goa",TCDGH,2024-01-26T15:20:57.488Z,2024-02-28T16:42:30.761Z,false,true,0,,40,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.1.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.2.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.3.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.4.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.5.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.6.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.7.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.8.jpg,http://localhost:5001/hotels/uploads/hotelsImg/65b3cdd9148f987d4e4e6dad_.9.jpg,,,,,,65b7e21f390635b2cd9f14f0,65b7e227390635b2cd9f14f4,,,,,
65b3cdee148f987d4e4e6db1,65b1f3dbbf71a7a0133e47bc,65b1f1f4bf71a7a0133e4778,"Whoopers Hostel Anjuna, Goa",WHAG,2024-01-26T15:21:18.696Z,2024-02-01T15:49:09.754Z,true,true,0,"Chappel Rd, near Whoopers Boutique, Monteiro Vaddo, Anjuna, Goa 403509",,,,,,,,,,,,,,,,,,,,,,
